Pathway index	Pathway name	NO. of known targets	NO. of merged targets	P-value (known)	P-value (merged)
1	Serotonergic synapse	25	26	1.74E-22	4.64E-20
2	GABAergic synapse	23	23	1.58E-22	3.45E-19
3	Cholinergic synapse	13	15	1.85E-08	1.64E-08
4	Dopaminergic synapse	11	15	5.90E-06	1.25E-07
5	Glutamatergic synapse	10	10	1.16E-05	1.83E-04
6	Synaptic vesicle cycle	3	4	7.79E-02	4.86E-02		
1	Calcium signaling pathway	24	32	4.25E-16	9.50E-21
2	Retrograde endocannabinoid signaling	22	24	6.23E-16	6.99E-15
3	cAMP signaling pathway	21	25	2.85E-12	6.83E-13
4	cGMP-PKG signaling pathway	11	11	5.01E-05	8.51E-04
5	Rap1 signaling pathway	7	11	4.90E-02	6.20E-03
6	VEGF signaling pathway	2	5	2.40E-01	9.10E-03
7	FoxO signaling pathway	0	7	-	2.54E-02
8	Ras signaling pathway	6	10	1.72E-01	3.39E-02	
9	Sphingolipid signaling pathway	3	6	2.88E-01	4.44E-02		
10	Fc epsilon RI signaling pathway	2	4	2.93E-01	6.11E-02		
11	HIF-1 signaling pathway	1	5	8.00E-01	6.77E-02		
12	B cell receptor signaling pathway	2	4	3.11E-01	6.94E-02				
13	AMPK signaling pathway	1	5	8.58E-01	1.25E-01				
14	NOD-like receptor signaling pathway	2	6	7.51E-01	1.62E-01				
15	AGE-RAGE signaling pathway in diabetic complications	2	4	4.68E-01	1.71E-01		
16	Toll-like receptor signaling pathway	1	4	8.13E-01	1.93E-01			
17	Prolactin signaling pathway	0	3	-	1.97E-01			
18	TNF signaling pathway	0	4	-	2.11E-01			
19	Neurotrophin signaling pathway	1	4	8.53E-01	2.63E-01			
20	Cellular senescence	0	5	-	2.72E-01				
21	ErbB signaling pathway	0	3	-	2.91E-01				
22	IL-17 signaling pathway	0	3	-	3.33E-01			
23	Chemokine signaling pathway	3	5	5.66E-01	3.80E-01			
24	T cell receptor signaling pathway	0	3	-	3.93E-01			
25	p53 signaling pathway	0	2	-	4.41E-01			
26	Adipocytokine signaling pathway	1	2	6.70E-01	4.48E-01				
27	RIG-I-like receptor signaling pathway	0	2	-	4.55E-01			
28	MAPK signaling pathway	3	7	8.52E-01	4.65E-01			
29	PPAR signaling pathway	0	2	-	4.70E-01				
30	PI3K-Akt signaling pathway	3	8	9.22E-01	5.05E-01			
31	Relaxin signaling pathway	0	3	-	5.45E-01			
32	Apoptosis	0	3	-	5.86E-01			
33	Ferroptosis	1	1	4.73E-01	5.88E-01
34	GnRH signaling pathway	0	2	-	6.02E-01			
35	Wnt signaling pathway	2	3	6.67E-01	6.10E-01				
36	NF-kappa B signaling pathway	0	2	-	6.20E-01				
37	mTOR signaling pathway	0	3	-	6.47E-01				
38	Jak-STAT signaling pathway	1	3	9.27E-01	6.93E-01					
39	Thyroid hormone signaling pathway	0	2	-	7.26E-01
40	Cell cycle	0	2	-	7.60E-01					
41	Autophagy - animal	0	2	-	7.75E-01					
42	Insulin signaling pathway	0	2	-	8.10E-01					
43	Phospholipase D signaling pathway	0	2	-	8.34E-01					
44	Oxytocin signaling pathway	0	2	-	8.53E-01				
45	Endocytosis	0	2	-	9.73E-01
46	Necroptosis	1	1	9.29E-01	9.74E-01
1	Taste transduction	18	18	3.32E-16	1.11E-13
2	Inflammatory mediator regulation of TRP channels	5	10	1.87E-02	4.64E-05	
3	Salivary secretion	7	7	5.31E-04	3.43E-03		
4	Circadian entrainment	6	6	4.07E-03	1.84E-02		
5	Renin secretion	3	3	8.38E-02	1.70E-01				
6	Vascular smooth muscle contraction	3	4	3.01E-01	2.73E-01
7	Insulin secretion	1	3	7.45E-01	2.85E-01
8	Pancreatic secretion	2	3	4.52E-01	3.51E-01
9	Renin-angiotensin system	1	1	3.08E-01	3.99E-01
10	Gastric acid secretion	1	2	7.00E-01	4.91E-01
1	Gap junction	5	7	1.27E-02	3.03E-03
2	Long-term potentiation	6	6	6.35E-04	3.31E-03
3	Adherens junction	2	5	3.17E-01	2.03E-02	
4	Regulation of actin cytoskeleton	7	9	5.11E-02	4.26E-02
5	Long-term depression	2	3	2.46E-01	1.43E-01	
6	Focal adhesion	2	6	8.29E-01	2.69E-01	
7	Axon guidance	2	3	7.71E-01	7.42E-01
